CustomerID,Gender,Age,Full Name,Email,Phone Number,Address,Date of Birth,Registration Date
CUST17850.0,0,35,Dr Thomas Smith,dr.thomas.smith33@gmail.com,+441632 960 794,"Flat 48, Stanley lake, Butlerfort, L8 7PB",1980-04-21,2023-04-25
CUST13047.0,1,27,Adrian Brooks-Hussain,adrian.brooks-hussain88@gmail.com,+44(0)115 496 0170,"Flat 80, Webb squares, East Bethan, M46 6GD",2001-11-22,2024-01-25
CUST12583.0,1,44,Mr Mathew Whittaker,mr.mathew.whittaker39@gmail.com,(0141)4960435,"Flat 81q, Anna mountain, Hayneschester, LL7A 4BP",1971-06-16,2025-04-24
CUST13748.0,1,32,Bruce Mitchell,bruce.mitchell25@gmail.com,(0114) 4960702,"Studio 74, Trevor mills, Colinstad, DD0R 0LQ",2004-01-17,2025-05-25
CUST15100.0,0,32,Katie Tomlinson,katie.tomlinson26@gmail.com,(0161) 496 0663,"Studio 79, Chloe port, Faulknerside, YO94 7JP",1965-05-07,2023-08-12
CUST15291.0,1,66,Joan Williams,joan.williams77@gmail.com,0121 496 0872,"3 Hayley shore, Lynneview, G8 1UJ",1977-07-13,2021-04-01
CUST14688.0,1,57,Miss Marilyn Wells,miss.marilyn.wells73@gmail.com,+44(0)29 2018334,"945 Phillip cliffs, Mohammadstad, W7S 0SA",1991-10-12,2024-10-31
CUST17809.0,0,49,Connor Cross,connor.cross75@gmail.com,(0116) 4960518,"12 Stone square, Peacocktown, SK8H 7LQ",1964-04-04,2024-09-20
CUST15311.0,1,29,Stuart Mills,stuart.mills73@gmail.com,+44(0)1914960719,"Studio 27M, Geoffrey station, Georginafort, BT81 7NZ",1967-06-23,2024-02-05
CUST14527.0,1,52,Lynn Booth,lynn.booth77@gmail.com,+44(0)808 1570415,"57 Jones mill, Shirleyhaven, L3 2DE",1987-01-24,2023-12-16
CUST16098.0,1,36,Joseph Lewis,joseph.lewis41@gmail.com,+44(0)131 4960547,"Studio 30j, Baxter club, New Luketown, E08 3EL",1967-12-15,2023-07-24
CUST18074.0,1,33,Mr Gerard Berry,mr.gerard.berry99@gmail.com,01914960337,"Studio 12, Andrea harbors, Wendystad, M9D 9DB",1983-03-01,2022-02-04
CUST17420.0,0,25,Gail Atkinson,gail.atkinson40@gmail.com,(0306)9990024,"Studio 98x, Hardy summit, North Jenniferland, M6E 2TW",1956-11-19,2023-06-18
CUST16029.0,0,37,Dr Guy Cox,dr.guy.cox43@gmail.com,+44(0)306 9990379,"Flat 49T, Houghton plaza, Port Barbara, FY6X 6AU",1997-11-11,2024-05-17
CUST16250.0,1,70,Carole Pollard,carole.pollard27@gmail.com,(0118)4960139,"Studio 01, Griffiths bridge, Melaniehaven, LS94 0HL",1975-05-07,2021-02-07
CUST12431.0,1,31,Nicole Bird,nicole.bird75@gmail.com,+441632 960612,"314 Louise unions, Paigeburgh, L6C 6WB",1969-11-02,2025-07-22
CUST17511.0,1,64,Janice Adams,janice.adams29@gmail.com,0292018176,"3 Moore lodge, Williamstown, BL4X 5WX",1968-06-27,2023-04-16
CUST17548.0,1,37,Raymond Griffiths-Hall,raymond.griffiths-hall60@gmail.com,+44(0)151 4960793,"Studio 35, Long village, Lake Clive, S68 7GW",1964-11-14,2022-10-25
CUST13705.0,0,48,Jacob Reid,jacob.reid45@gmail.com,(029) 2018148,"76 Douglas cape, Ashleighshire, WR8 4WA",1978-07-23,2021-10-26
CUST13747.0,0,63,Pamela Thomas,pamela.thomas9@gmail.com,+44(0)289018823,"589 Steven keys, North Annette, ML1 7RX",1989-10-06,2024-08-11
CUST13408.0,0,21,Marian Jones,marian.jones44@gmail.com,+442074960953,"Flat 11, Webb mews, Marcmouth, BA4 9FE",1981-08-26,2021-01-10
CUST13767.0,1,43,Dr Diane Cooke,dr.diane.cooke16@gmail.com,+44(0)151 4960613,"78 Julian park, Clarkemouth, PL9V 8DG",1962-11-02,2021-12-12
CUST17924.0,0,30,Mr Clive Fowler,mr.clive.fowler49@gmail.com,020 7946 0269,"13 Jodie square, East Rickyside, L26 9NX",1993-02-22,2025-01-06
CUST13448.0,0,61,Maureen Jennings-Wood,maureen.jennings-wood90@gmail.com,+44289018118,"Studio 0, Cook parkway, Lake Jenniferhaven, B69 8RG",1976-10-28,2025-06-11
CUST15862.0,1,27,Frank King,frank.king9@gmail.com,+441632 960 690,"654 Marshall valleys, South Frank, N78 4AY",2004-08-02,2023-07-16
CUST15513.0,0,60,Dr Malcolm Wright,dr.malcolm.wright89@gmail.com,+4429 2018 0757,"Flat 60f, Howard islands, East Rhys, OL90 0BX",1996-08-17,2025-06-13
CUST12791.0,1,31,Elliott Scott-Hope,elliott.scott-hope3@gmail.com,(0117) 496 0888,"Flat 99Z, Lee meadow, Port Nathan, N9 5EL",1974-12-23,2023-01-10
CUST16218.0,0,45,Mr Harry Smith,mr.harry.smith65@gmail.com,(020) 7496 0455,"Flat 05r, Victor court, Kingbury, B35 7SD",1995-10-10,2021-09-13
CUST14045.0,1,21,Francis Hughes,francis.hughes83@gmail.com,+44(0)909 879 0211,"Studio 46, Sylvia unions, South Alex, MK1 9ZP",2000-01-23,2021-12-22
CUST14307.0,1,54,Katherine Matthews,katherine.matthews6@gmail.com,+44141 496 0581,"15 Macdonald camp, Smithbury, N3 9YL",1971-12-14,2023-12-06
CUST17908.0,1,33,Amanda Lloyd,amanda.lloyd12@gmail.com,+44(0)289018865,"Studio 20, Davies light, Mitchellton, W50 3LH",2001-07-05,2025-04-04
CUST17920.0,1,49,Jeffrey O'Donnell,jeffrey.o'donnell8@gmail.com,+44(0)1632 960332,"Studio 24L, Robinson ridge, North Jaketon, CO7B 7GY",1982-12-28,2020-12-29
GUEST,1,36,Rosie Williams,rosie.williams43@gmail.com,(0113) 4960188,"Studio 00, Mitchell rest, West Joanne, DA7A 8EX",1995-03-18,2021-03-13
CUST12838.0,0,63,Ann Pickering,ann.pickering8@gmail.com,0191 4960332,"Flat 18, Arthur knolls, Elainechester, LL5 3BH",1988-02-21,2023-07-01
CUST13255.0,0,55,Jamie Mills,jamie.mills57@gmail.com,+44(0)117 496 0242,"3 Molly cliff, Margarettown, S08 6XD",1963-12-16,2025-06-19
CUST16583.0,0,66,Kerry Kaur-Ahmed,kerry.kaur-ahmed89@gmail.com,+44114 4960630,"Flat 6, White falls, Jacksontown, E4 1HX",1971-05-12,2024-06-01
CUST18085.0,0,20,Dr Sharon Robinson,dr.sharon.robinson58@gmail.com,+44(0)29 2018 0994,"Flat 2, Dennis forest, East Malcolmport, B4 7EU",2002-04-09,2021-09-23
CUST13758.0,0,53,Suzanne Hunt,suzanne.hunt43@gmail.com,+44(0)9098790757,"Studio 5, Elliott trace, East Jadeside, B6 2PR",1970-05-30,2022-08-08
